codigo_rec;recinto;Direccion;comuna;region;
2337;COLEGIO EYZAGUIRRE MEDIA;EYZAGUIRRE 2891  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2348;COLEGIO MAIPO;RAMON NUÑEZ 266 POBLACION MAIPO;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2377;CENTRO EDUCACIONAL LARUN RAYUN;GABRIELA ORIENTE 2590  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2313;LICEO CIUDAD DE BRASILIA;SIMON BOLIVAR KILOMETRO 17 NOVICIADO;PUDAHUEL;METROPOLITANA DE SANTIAGO;
11136;COLEGIO NUEVO HORIZONTE DE PUENTE ALTO;AVENIDA CHILOE 2270  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2351;COLEGIO PADRE JOSE KENTENICH;PROFESOR ALCAINO 1335  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2372;COLEGIO PEDRO APOSTOL;DEL TRANQUE 1412  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2380;COLEGIO PROFESOR ILDEFONSO CALDERON;EL PEÑON 749  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
11198;COLEGIO QUITALMAHUE;QUITALMAHUE 1650  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2381;COLEGIO SANTA MARIA DE LA CORDILLERA;GABRIELA PONIENTE 662  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
11164;COLEGIO TUPAHUE;DOMINGO TOCORNAL 543  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2382;ESCUELA ANDES DEL SUR;LOS TOROS 1600  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2370;ESCUELA CASAS VIEJAS;27 DE SEPTIEMBRE 4407  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2354;ESCUELA CONSOLIDADA;PEDRO LAGOS 365  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2355;ESCUELA EJERCITO LIBERTADOR;EJERCITO LIBERTADOR 569 POBLACION EL TRANQUE;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
